id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
5275,Freddi Fish 5: The Case of the Creature of Coral Cove,2001-06,8.35,https://www.mobygames.com/game/5275/freddi-fish-5-the-case-of-the-creature-of-coral-cove/,"Windows, Macintosh, iPad, Android, Linux, iPhone","Adventure, Educational, Math / logic, Detective / mystery, 3rd-person (Other)","Humongous Entertainment, Inc.","Humongous Entertainment, Inc., Night Dive Studios, LLC, Transposia, Akella"
21113,Pajama Sam 2: Thunder and Lightning aren't so Frightening,1998,8.25,https://www.mobygames.com/game/21113/pajama-sam-2-thunder-and-lightning-arent-so-frightening/,"Windows, Windows 16-bit, Macintosh, iPhone, iPad, Linux, PlayStation 4, Nintendo Switch, Android","Adventure, Educational, Puzzle elements, Pre-school / toddler, 3rd-person (Other)","Humongous Entertainment, Inc.","Nimbus Games Inc., Tommo Inc., Humongous Entertainment, Inc., Night Dive Studios, LLC, UFO Interactive Games, Inc., Akella"
5522,Freddi Fish 2: The Case of the Haunted Schoolhouse,1996-08-29,8.14,https://www.mobygames.com/game/5522/freddi-fish-2-the-case-of-the-haunted-schoolhouse/,"Windows, Windows 16-bit, Macintosh, iPhone, Linux, DVD Player, Android, iPad","Adventure, Educational, Top-down, Side view, Puzzle, Point and select","Humongous Entertainment, Inc.","GameTap LLC, Take-Two Interactive Software, Inc., Akella, Tommo Inc., Night Dive Studios, LLC, Humongous Entertainment, Inc."
5157,Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,1999-03-30,8.13,https://www.mobygames.com/game/5157/freddi-fish-4-the-case-of-the-hogfish-rustlers-of-briny-gulch/,"Windows, Macintosh, Android, iPad, iPhone, Linux","Adventure, Educational, Puzzle elements, Math / logic, Detective / mystery, 3rd-person (Other)","Humongous Entertainment, Inc.","Humongous Entertainment, Inc., Night Dive Studios, LLC, Akella, Transposia"
1200,Pajama Sam: No Need to Hide When It's Dark Outside,1996,8.1,https://www.mobygames.com/game/1200/pajama-sam-no-need-to-hide-when-its-dark-outside/,"Linux, Windows, Windows 16-bit, Macintosh, Wii, iPhone, Android, iPad, PlayStation 4, Nintendo Switch","Adventure, Educational, Pre-school / toddler","Humongous Entertainment, Inc.","UFO Interactive Games, Inc., Atari Europe S.A.S.U., Russobit-M, Majesco Entertainment Company, Humongous Entertainment, Inc., Night Dive Studios, LLC, Tommo Inc."
21014,"Spy Fox in ""Dry Cereal""",1997,8.07,https://www.mobygames.com/game/21014/spy-fox-in-dry-cereal/,"Windows, Windows 16-bit, Macintosh, Wii, iPhone, Linux, PlayStation 4, Nintendo Switch, iPad, Android","Adventure, Arcade, Educational, Puzzle elements, Math / logic, Spy / espionage, 3rd-person (Other)","Humongous Entertainment, Inc.","Night Dive Studios, LLC, Tommo Inc., Infogrames Europe SA, Humongous Entertainment, Inc., Atari Europe S.A.S.U., Akella, UFO Interactive Games, Inc., Nimbus Games Inc."
1225,Putt-Putt Saves the Zoo,1995,8.0,https://www.mobygames.com/game/1225/putt-putt-saves-the-zoo/,"Windows, Windows 16-bit, Macintosh, iPhone, Android, iPad, DVD Player, Linux, Nintendo Switch, PlayStation 4","Adventure, Educational, Puzzle elements, Pre-school / toddler, 3rd-person (Other)","Humongous Entertainment, Inc.","Atari Europe S.A.S.U., Night Dive Studios, LLC, Humongous Entertainment, Inc., Atari, Inc., Take-Two Interactive Software, Inc., Tommo Inc., Akella, GameTap LLC, UFO Interactive Games, Inc."
21061,Putt-Putt Joins the Circus,2000,7.97,https://www.mobygames.com/game/21061/putt-putt-joins-the-circus/,"Windows, Macintosh, iPhone, iPad, Android, Linux","Adventure, Educational, Side view, Board game, Cards / tiles, Puzzle elements, Pre-school / toddler, Mental training, 3rd-person (Other), Mini-games, Tile matching puzzle, Point and select","Humongous Entertainment, Inc.","Tommo Inc., Night Dive Studios, LLC, Humongous Entertainment, Inc."
1198,Putt-Putt Goes to the Moon,1993,7.93,https://www.mobygames.com/game/1198/putt-putt-goes-to-the-moon/,"DOS, Windows, Windows 16-bit, 3DO, Macintosh, iPad, Android, iPhone, Linux","Adventure, Educational, Pre-school / toddler, 3rd-person (Other)","Humongous Entertainment, Inc.","Humongous Entertainment, Inc., Night Dive Studios, LLC, Electronic Arts, Inc., Akella"
20987,"Spy Fox 2: ""Some Assembly Required""",1999,7.93,https://www.mobygames.com/game/20987/spy-fox-2-some-assembly-required/,"Windows, Macintosh, iPad, Android, Linux, iPhone","Adventure, Educational, Puzzle elements, Math / logic, Pre-school / toddler, 3rd-person (Other)","Humongous Entertainment, Inc.","Night Dive Studios, LLC, Humongous Entertainment, Inc., Tommo Inc., Infogrames Europe SA"
1201,Putt-Putt Travels Through Time,1997,7.81,https://www.mobygames.com/game/1201/putt-putt-travels-through-time/,"Windows, Windows 16-bit, Macintosh, iPhone, iPad, PlayStation 4, Nintendo Switch, Linux, Android","Adventure, Educational, Pre-school / toddler","Humongous Entertainment, Inc.","Tommo Inc., Akella, Night Dive Studios, LLC, Humongous Entertainment, Inc., UFO Interactive Games, Inc."
5355,Freddi Fish 3: The Case of the Stolen Conch Shell,1998-03-02,7.7,https://www.mobygames.com/game/5355/freddi-fish-3-the-case-of-the-stolen-conch-shell/,"Windows, Windows 16-bit, Macintosh, iPhone, iPad, Android, PlayStation 4, Nintendo Switch, Linux","Adventure, Educational, Puzzle elements, Math / logic, Fantasy, 3rd-person (Other), Graphic adventure","Humongous Entertainment, Inc.","Atari, Inc., Tommo Inc., Akella, Night Dive Studios, LLC, Humongous Entertainment, Inc., UFO Interactive Games, Inc."
